taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,4,23,262144,URMA_WRITE,7,10ns,0,
1,4,19,262144,URMA_WRITE,7,10ns,0,
2,2,16,262144,URMA_WRITE,7,10ns,0,
3,5,20,262144,URMA_WRITE,7,10ns,0,
4,6,18,262144,URMA_WRITE,7,10ns,0,
5,7,17,262144,URMA_WRITE,7,10ns,0,
6,6,22,262144,URMA_WRITE,7,10ns,0,
7,2,21,262144,URMA_WRITE,7,10ns,0,
8,7,22,262144,URMA_WRITE,7,10ns,0,
9,5,23,262144,URMA_WRITE,7,10ns,0,
10,3,18,262144,URMA_WRITE,7,10ns,0,
11,0,21,262144,URMA_WRITE,7,10ns,0,
12,2,22,262144,URMA_WRITE,7,10ns,0,
13,5,16,262144,URMA_WRITE,7,10ns,0,
14,3,19,262144,URMA_WRITE,7,10ns,0,
15,5,19,262144,URMA_WRITE,7,10ns,0,
16,7,19,262144,URMA_WRITE,7,10ns,0,
17,7,21,262144,URMA_WRITE,7,10ns,0,
18,5,19,262144,URMA_WRITE,7,10ns,0,
19,0,21,262144,URMA_WRITE,7,10ns,0,
20,6,23,262144,URMA_WRITE,7,10ns,0,
21,7,21,262144,URMA_WRITE,7,10ns,0,
22,6,20,262144,URMA_WRITE,7,10ns,0,
23,5,16,262144,URMA_WRITE,7,10ns,0,
24,1,23,262144,URMA_WRITE,7,10ns,0,
25,2,20,262144,URMA_WRITE,7,10ns,0,
26,2,19,262144,URMA_WRITE,7,10ns,0,
27,1,21,262144,URMA_WRITE,7,10ns,0,
28,5,19,262144,URMA_WRITE,7,10ns,0,
29,4,21,262144,URMA_WRITE,7,10ns,0,
30,3,23,262144,URMA_WRITE,7,10ns,0,
31,0,16,262144,URMA_WRITE,7,10ns,0,
32,4,16,262144,URMA_WRITE,7,10ns,0,
33,4,20,262144,URMA_WRITE,7,10ns,0,
34,3,20,262144,URMA_WRITE,7,10ns,0,
35,3,17,262144,URMA_WRITE,7,10ns,0,
36,6,17,262144,URMA_WRITE,7,10ns,0,
37,6,19,262144,URMA_WRITE,7,10ns,0,
38,5,20,262144,URMA_WRITE,7,10ns,0,
39,7,16,262144,URMA_WRITE,7,10ns,0,
40,4,17,262144,URMA_WRITE,7,10ns,0,
41,1,17,262144,URMA_WRITE,7,10ns,0,
42,4,21,262144,URMA_WRITE,7,10ns,0,
43,0,23,262144,URMA_WRITE,7,10ns,0,
44,1,23,262144,URMA_WRITE,7,10ns,0,
45,3,21,262144,URMA_WRITE,7,10ns,0,
46,1,21,262144,URMA_WRITE,7,10ns,0,
47,0,22,262144,URMA_WRITE,7,10ns,0,
48,1,17,262144,URMA_WRITE,7,10ns,0,
49,0,21,262144,URMA_WRITE,7,10ns,0,
50,6,21,262144,URMA_WRITE,7,10ns,0,
51,2,22,262144,URMA_WRITE,7,10ns,0,
52,0,16,262144,URMA_WRITE,7,10ns,0,
53,7,16,262144,URMA_WRITE,7,10ns,0,
54,3,19,262144,URMA_WRITE,7,10ns,0,
55,3,22,262144,URMA_WRITE,7,10ns,0,
56,2,20,262144,URMA_WRITE,7,10ns,0,
57,6,18,262144,URMA_WRITE,7,10ns,0,
58,2,22,262144,URMA_WRITE,7,10ns,0,
59,7,19,262144,URMA_WRITE,7,10ns,0,
60,4,20,262144,URMA_WRITE,7,10ns,0,
61,0,17,262144,URMA_WRITE,7,10ns,0,
62,1,22,262144,URMA_WRITE,7,10ns,0,
63,1,22,262144,URMA_WRITE,7,10ns,0,
